kota_raw,kota,rumah_sakit,nomor_telpon,nama_dokter,spesialis_raw,spesialis_standar,subspesialis_raw,subspesialis_standar,non_spesialis_raw,sumber_data
jakarta pusat,jakarta pusat,rsud johar baru,-,"dr. yonzi, sp.b",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),-,-,-,rsud_gofar_tes_csv
jakarta barat,jakarta barat,rsud kembangan,-,"dr. karen pandhika, sp.b",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),-,-,-,rsud_gofar_tes_csv
jakarta timur,jakarta timur,rsud kramat jati,-,"dr. andi wiradeni, sp. b",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),-,-,-,rsud_gofar_tes_csv
jakarta timur,jakarta timur,rsud kramat jati,-,"dr. andri suryananda, sp.b",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),-,-,-,rsud_gofar_tes_csv
jakarta selatan,jakarta selatan,rsud tebet,-,"dr. bramastha aires r. oggy, m.biomed, sp.b",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),-,-,-,rsud_gofar_tes_csv
jakarta selatan,jakarta selatan,rsud tebet,-,"dr. terry r. lawanto, sp.b",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),-,-,-,rsud_gofar_tes_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Achmad Adam, Dr.,dr., SpBS(K)., M.Sc",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),Vascular,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Achmad Imron, Dr., dr., SpBS(K)., M.Kes",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),Infeksi,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Agung Budi Sutiono, dr., SpBS(K)., Ph.D., DMsc",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),Trauma,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Bilzardy Ferry Zulkifli, dr., SpBS(K)., M.Kes",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),Vascular,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Firman Priguna Tjahjono, dr., SpBS., M.Kes",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),Tumor,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Farid Yudoyono, dr., Sp.BS.Sub.Sp.N.TB(K)., M. Epid., FINSS., FII",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),Spine,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Guata Naibaho, dr., SpBS",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),Tumor,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Mirna Sobarna, dr., Sp.BS(K)., M.Kes",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),Pediatrik,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Roland, dr., SpBS(K)., M.Kes",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),Tumor,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Rully Hanafi, Dr(Jur)Adv., dr., SpBS.Sub.Sp.N.TB(K)., M.Kes., SH., FINSS",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),Spine,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Selfy Oswari, dr., SpBS",Spesialis Bedah (Sp.B),Spesialis Bedah (Sp.B),Infeksi,-,-,rshs_bandung_2_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. leecarlo millano lg, sp.ba, subsp. d.a. (k)",Spesialis Bedah Anak (Sp.BA),Spesialis Bedah (Sp.B),Spesialis Bedah Anak (Sp.BA),Subspesialis Bedah Anak (Sp.BA),-,rsud_gofar_tes_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,"dr. Jan Frits Siauta, Sp.B SubSp Onk (K)",Spesialis Bedah Konsultan Onkologi,Spesialis Bedah (Sp.B),Spesialis Bedah Konsultan Onkologi,Subspesialis Bedah - Onkologi,-,provita_jayapura_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,"dr. Donald Willem S. Aronggear, Sp.B (K)",Spesialis Bedah Konsultan Trauma,Spesialis Bedah (Sp.B),Spesialis Bedah Konsultan Trauma,Subspesialis Bedah - Trauma,-,provita_jayapura_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,drg. Titis Laraswati,Spesialis Bedah Mulut,Dokter Gigi Spesialis Bedah Mulut (SpBM),Spesialis Bedah Mulut,-,-,provita_jayapura_csv
jakarta selatan,jakarta selatan,rsud jagakarsa,-,adria permana putra,Spesialis Bedah Mulut (SpBM),Spesialis Bedah Mulut (SpBM),-,-,-,rsud_gofar_tes_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Asri A,drg., SpBM.",Spesialis Bedah Mulut (SpBM),Spesialis Bedah Mulut (SpBM),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Eka Marwansyah, drg.,SpBM",Spesialis Bedah Mulut (SpBM),Spesialis Bedah Mulut (SpBM),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Melita S, drg., SpBM",Spesialis Bedah Mulut (SpBM),Spesialis Bedah Mulut (SpBM),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Seto A, drg., SpBM",Spesialis Bedah Mulut (SpBM),Spesialis Bedah Mulut (SpBM),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Winarno, drg., SpBM",Spesialis Bedah Mulut (SpBM),Spesialis Bedah Mulut (SpBM),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Kalia Labitta Yudhasoka, drg., Sp.BM",Spesialis Bedah Mulut (SpBM),Spesialis Bedah Mulut (SpBM),-,-,-,rshs_bandung_2_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. andre chandra sihombing, sp.orth",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. r koesmedi priharto, sp.ot, m.kes, fics",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. jafri hasan, sp.ot (k)",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. riky febriansyah saleh sp.ot, fics",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),-,-,-,rsud_gofar_tes_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Agus Hadian Rahim, Dr.,dr.,SpOT(K).,M.Epid.,MH.Kes",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Spine,Subspesialis Orthopaedi - Spine,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Ahmad Ramdan, Dr.,dr., SpOT(K)., MKM",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Spine,Subspesialis Orthopaedi - Spine,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Andri Primadhi, dr., SpOT(K)",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Ankle and Foot,Subspesialis Orthopaedi - Ankle and Foot,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Abdul Kadir Hadar, dr., SpOT",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Spine,Subspesialis Orthopaedi - Spine,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Dicky Mulyadi, dr., SpOT(K)",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Rekonstraksi dewasa / Arthroplasty,Subspesialis Orthopaedi - Rekonstraksi dewasa / Arthroplasty,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Ghuna Arioharjo Utoyo, dr., SpOT",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Cedera olah raga,Subspesialis Orthopaedi - Cedera olah raga,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Gibran Tristan Alpharian, dr.,SpOT",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Trauma,Subspesialis Orthopaedi - Trauma,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Herry Herman Sp.OT., Ph.D",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Onkologi,Subspesialis Orthopaedi - Onkologi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Muhammad Naseh Sajadi Budi Irawan, dr., SpOT(K)",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Onkologi,Subspesialis Orthopaedi - Onkologi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Moechammad Satrio N. M., dr., Sp.OT",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Rekonstraksi dewasa / Arthroplasty,Subspesialis Orthopaedi - Rekonstraksi dewasa / Arthroplasty,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Nucki Nursjamsi H.,Dr.,dr.,SpOT(K).,M.Kes.,FICS",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Bedah tangan dan rekronstruksi mikro,Subspesialis Orthopaedi - Bedah tangan dan rekronstruksi mikro,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Renaldi Prasetia HNR, dr.,SpOT, M.Kes",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Bahu,Subspesialis Orthopaedi - Bahu,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Realita Malik, dr., SpOT",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Bedah tangan dan rekronstruksi mikro,Subspesialis Orthopaedi - Bedah tangan dan rekronstruksi mikro,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Widya Arsa, dr., SpOT., CCD",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Bedah tangan dan rekronstruksi mikro,Subspesialis Orthopaedi - Bedah tangan dan rekronstruksi mikro,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Yoyos Dias Ismiarto, Dr.,dr., SpOT(K)., M.Kes., CCD",Spesialis Bedah Orthopedi (Sp.OT),Spesialis Orthopaedi dan Traumatologi (Sp.OT),Pediatrik,Subspesialis Orthopaedi - Pediatrik,-,rshs_bandung_2_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. melina tiza yanuardani, sp. bp-re",Spesialis Bedah Plastik (Sp.BP),Spesialis Bedah Plastik (Sp.BP),-,-,-,rsud_gofar_tes_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,"dr. Tommy Jack Numberi, Sp.BS",Spesialis Bedah Saraf,Spesialis Saraf (Sp.S),Spesialis Bedah Saraf,-,-,provita_jayapura_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,"DR.dr. Hendrikus MB Bolly, M.Si,Sp.BS.,FICS AIFO-K",Spesialis Bedah Saraf,Spesialis Saraf (Sp.S),Spesialis Bedah Saraf,-,-,provita_jayapura_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. bobby wirawan hassan, sp.bs",Spesialis Bedah Saraf (Sp.BS),Spesialis Bedah Saraf (Sp.BS),-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. fadhil, sp.bs (k)",Spesialis Bedah Saraf (Sp.BS),Spesialis Bedah Saraf (Sp.BS),-,-,-,rsud_gofar_tes_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Achmad Adam, Dr.,dr., SpBS(K)., M.Sc",Spesialis Bedah Saraf (Sp.BS),Spesialis Bedah Saraf (Sp.BS),Vascular,Subspesialis Bedah Saraf - Vascular,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Achmad Imron, Dr., dr., SpBS(K)., M.Kes",Spesialis Bedah Saraf (Sp.BS),Spesialis Bedah Saraf (Sp.BS),Infeksi,Subspesialis Bedah Saraf - Infeksi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Agung Budi Sutiono, dr., SpBS(K)., Ph.D., DMsc",Spesialis Bedah Saraf (Sp.BS),Spesialis Bedah Saraf (Sp.BS),Trauma,Subspesialis Bedah Saraf - Trauma,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Bilzardy Ferry Zulkifli, dr., SpBS(K)., M.Kes",Spesialis Bedah Saraf (Sp.BS),Spesialis Bedah Saraf (Sp.BS),Vascular,Subspesialis Bedah Saraf - Vascular,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Firman Priguna Tjahjono, dr., SpBS., M.Kes",Spesialis Bedah Saraf (Sp.BS),Spesialis Bedah Saraf (Sp.BS),Tumor,Subspesialis Bedah Saraf - Tumor,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Farid Yudoyono, dr., Sp.BS.Sub.Sp.N.TB(K)., M. Epid., FINSS., FII",Spesialis Bedah Saraf (Sp.BS),Spesialis Bedah Saraf (Sp.BS),Spine,Subspesialis Bedah Saraf - Spine,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Guata Naibaho, dr., SpBS",Spesialis Bedah Saraf (Sp.BS),Spesialis Bedah Saraf (Sp.BS),Tumor,Subspesialis Bedah Saraf - Tumor,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Mirna Sobarna, dr., Sp.BS(K)., M.Kes",Spesialis Bedah Saraf (Sp.BS),Spesialis Bedah Saraf (Sp.BS),Pediatrik,Subspesialis Bedah Saraf - Pediatrik,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Roland, dr., SpBS(K)., M.Kes",Spesialis Bedah Saraf (Sp.BS),Spesialis Bedah Saraf (Sp.BS),Tumor,Subspesialis Bedah Saraf - Tumor,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Rully Hanafi, Dr(Jur)Adv., dr., SpBS.Sub.Sp.N.TB(K)., M.Kes., SH., FINSS",Spesialis Bedah Saraf (Sp.BS),Spesialis Bedah Saraf (Sp.BS),Spine,Subspesialis Bedah Saraf - Spine,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Selfy Oswari, dr., SpBS",Spesialis Bedah Saraf (Sp.BS),Spesialis Bedah Saraf (Sp.BS),Infeksi,Subspesialis Bedah Saraf - Infeksi,-,rshs_bandung_2_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. budi gunawan, sp.btkv,fiha",Spesialis Bedah Thoraxs Kardiovaskular (Sp.BTKV),Spesialis Bedah Thoraxs Kardiovaskular (Sp.BTKV),-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. rahajeng arianggarini. p sp.btkv, m.ked.klin",Spesialis Bedah Thoraxs Kardiovaskular (Sp.BTKV),Spesialis Bedah Thoraxs Kardiovaskular (Sp.BTKV),-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. alwyn geraldine samuel, b.med.sc, sp.u",Spesialis Bedah Urologi (Sp.U),Spesialis Urologi (SpU),-,-,-,rsud_gofar_tes_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Aaron Tigor, dr., SpU",Spesialis Bedah Urologi (Sp.U),Spesialis Urologi (SpU),Onkologi,Subspesialis Bedah Urologi - Onkologi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Akhmad Mustafa, dr., Sp.U",Spesialis Bedah Urologi (Sp.U),Spesialis Urologi (SpU),Umum,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Ferry Safriadi, Dr., dr., SpU(K)",Spesialis Bedah Urologi (Sp.U),Spesialis Urologi (SpU),Onkologi,Subspesialis Bedah Urologi - Onkologi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Jupiter Sibarani, SpU",Spesialis Bedah Urologi (Sp.U),Spesialis Urologi (SpU),Pediatrik,Subspesialis Bedah Urologi - Pediatrik,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Kuncoro Adi, dr., SpU(K)",Spesialis Bedah Urologi (Sp.U),Spesialis Urologi (SpU),Rekonstruksi,Subspesialis Bedah Urologi - Rekonstruksi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Ricky Adriansjah, SpU(K)",Spesialis Bedah Urologi (Sp.U),Spesialis Urologi (SpU),Andrologi & Infertilitas,Subspesialis Bedah Urologi - Andrologi & Infertilitas,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Safendra Siregar, dr., SpU(K)",Spesialis Bedah Urologi (Sp.U),Spesialis Urologi (SpU),Pediatrik,Subspesialis Bedah Urologi - Pediatrik,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Sawkar Vijay Pramod., dr., SpU",Spesialis Bedah Urologi (Sp.U),Spesialis Urologi (SpU),Onkologi,Subspesialis Bedah Urologi - Onkologi,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Tjahjodjati, Dr., dr., SpB., SpU(K)",Spesialis Bedah Urologi (Sp.U),Spesialis Urologi (SpU),Female,Subspesialis Bedah Urologi - Female,-,rshs_bandung_2_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. boge priyo nugroho, sp.f",Spesialis Forensik (Sp.F),Spesialis Forensik (Sp.F),-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. fitri tyas windrarti, sp.gk",Spesialis Gizi,Spesialis Gizi Klinik (Sp.GK),-,-,-,rsud_gofar_tes_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Intan Meilana, dr., Sp.GK",Spesialis Gizi Klinik (Sp.GK),Spesialis Gizi Klinik (Sp.GK),Gizi,-,-,rshs_bandung_2_csv
Kota Jayapura,Kota Jayapura,RS Provita Jayapura,-,"dr. Jacky Hartanto Tungadi, Sp.JP",Spesialis Jantung,Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung,-,-,provita_jayapura_csv
jakarta utara,jakarta utara,rsud cilincing,-,"dr. asep zezen, sp.jp",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rsud_gofar_tes_csv
jakarta barat,jakarta barat,rsud kalideres,-,"dr. erick hoetama, sp.jp",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rsud_gofar_tes_csv
jakarta timur,jakarta timur,rsud kramat jati,-,"dr. hafizha herman, spjp",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. sebastian a manurung, sp.jp(k)",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. silfi pauline sirait, sp. jp",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. endang ratnaningsih, sp.jp, (k) fiha",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. med. dr.tike hari pratikto, spjp(k), fiha, fica,fcai",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rsud_gofar_tes_csv
jakarta pusat,jakarta pusat,rsud tarakan,-,"dr. cahyo baskoro, sp. jp",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rsud_gofar_tes_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Erwan Martanto, dr., SpPD. SpJP(K).",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Dr. Chaerul Achmad, dr., SpJP(K).",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Dr. M. Rizki Akbar, dr. MKes. SpJP(K).",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Dr. Januar W. Martha, dr., SpPD. MPH. SpJP(K).",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Syarief Hidayat, dr., SpPD. SpJP.",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Teddy Arnold Sihite, dr., SpPD. SpJP(K).",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Rien Afrianti, dr., SpJP. SpPD.",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Triwedya Indra Dewi, dr. SpJP-KIC(K).",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Badai Bhatara Tiksnadi, dr. MM. SpJP(K).",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Nuraini Yasmin Kusumawardhani, dr., SpPD. SpJP.",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Miftah Pramudyo, dr., SpJP(K).",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Melawati Hasan, dr., SpJP(K).",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Charlotte Johanna Cool, dr., SpJP(K).",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Hawani Sasmaya Prameswari, dr., SpJP.",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Astri Astuti, dr., SpJP",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
Kota Bandung,Kota Bandung,RSUP Dr. Hasan Sadikin Bandung,-,"Dendi Puji Wahyudi, dr., SpJP.",Spesialis Jantung dan Pembuluh Darah (Sp.JP),Spesialis Jantung dan Pembuluh Darah (Sp.JP),-,-,-,rshs_bandung_2_csv
